名称,﻿代码,﻿当前价格,﻿昨收,﻿今开,﻿成交量/手,﻿外盘,﻿内盘,﻿买一价,﻿买一量/手,﻿买二价,﻿买二量/手,﻿买三价,﻿买三量/手,﻿买四价,﻿买四量/手,﻿买五价,﻿买五量/手,﻿卖一价,﻿卖一量/手,﻿卖二价,﻿卖二量/手,﻿卖三价,﻿卖三量/手,﻿卖四价,﻿卖四量/手,﻿卖五价,﻿卖五量/手,﻿最近逐笔成交,﻿时间,﻿涨跌,﻿涨跌幅,﻿最高,﻿最低,﻿价格,﻿成交量/手,﻿成交额/万,﻿换手率,﻿市盈率,﻿振幅,﻿流通市值,﻿总市值,﻿市净率,﻿涨停价,﻿跌停价,﻿买盘大单,﻿买盘小单,﻿卖盘大单,﻿卖盘小单
0,159902,3.853,3.81,3.755,947511.0,563757.0,383754.0,3.84,20.0,3.838,113.0,3.837,11001.0,3.836,10060.0,3.834,3.0,3.852,11.0,3.853,25.0,3.855,181.0,3.856,451.0,3.86,3241.0,11.0,20150731113107,0.043,1.13,3.876,3.752,3.853,947511.0,36293.0,0.0,0.0,3.25,0.0,0.0,0.0,4.191,3.429,0.51,0.091,0.336,0.064
0,159902,3.852,3.81,3.755,947603.0,563849.0,383754.0,3.852,13.0,3.844,230.0,3.842,10000.0,3.841,10003.0,3.84,5000.0,3.853,43.0,3.855,70.0,3.856,401.0,3.86,286.0,3.864,36.0,13.0,20150731130009,0.042,1.1,3.876,3.752,3.853,947603.0,36297.0,0.0,0.0,3.25,0.0,0.0,0.0,4.191,3.429,0.51,0.091,0.336,0.064
0,159902,3.852,3.81,3.755,947603.0,563849.0,383754.0,3.852,13.0,3.844,230.0,3.841,3.0,3.84,15000.0,3.838,90.0,3.853,43.0,3.855,70.0,3.856,401.0,3.86,286.0,3.864,3036.0,13.0,20150731130018,0.042,1.1,3.876,3.752,3.853,947603.0,36297.0,0.0,0.0,3.25,0.0,0.0,0.0,4.191,3.429,0.51,0.091,0.336,0.064
0,159902,3.852,3.81,3.755,947603.0,563849.0,383754.0,3.852,13.0,3.844,230.0,3.842,10000.0,3.841,3.0,3.84,5000.0,3.853,43.0,3.855,70.0,3.856,401.0,3.86,296.0,3.862,3000.0,13.0,20150731130042,0.042,1.1,3.876,3.752,3.853,947603.0,36297.0,0.0,0.0,3.25,0.0,0.0,0.0,4.191,3.429,0.51,0.091,0.336,0.064
0,159902,3.852,3.81,3.755,947603.0,565218.0,382386.0,3.852,13.0,3.844,230.0,3.841,3.0,3.84,5000.0,3.838,90.0,3.853,43.0,3.855,70.0,3.856,401.0,3.858,3000.0,3.86,296.0,13.0,20150731130109,0.042,1.1,3.876,3.752,3.852,947603.0,36297.0,0.0,0.0,3.25,0.0,0.0,0.0,-1.0,-1.0,0.51,0.091,0.336,0.064
0,159902,3.855,3.81,3.755,947721.0,563962.0,383759.0,3.855,4925.0,3.853,32.0,3.852,13.0,3.846,10000.0,3.844,230.0,3.856,401.0,3.859,3000.0,3.86,3296.0,3.864,36.0,3.865,65.0,13.0,20150731130145,0.045,1.18,3.876,3.752,3.852,947721.0,36301.0,0.0,0.0,3.25,0.0,0.0,0.0,4.191,3.429,0.509,0.091,0.335,0.064
0,159902,3.855,3.81,3.755,952649.0,563965.0,388684.0,3.853,32.0,3.852,23.0,3.847,10000.0,3.846,10000.0,3.844,230.0,3.855,75.0,3.856,398.0,3.857,3000.0,3.858,3000.0,3.86,296.0,13.0,20150731130212,0.045,1.18,3.876,3.752,3.856,952649.0,36491.0,0.0,0.0,3.25,0.0,0.0,0.0,4.191,3.429,0.507,0.091,0.339,0.063
0,159902,3.855,3.81,3.755,957731.0,564097.0,393634.0,3.846,10000.0,3.845,10000.0,3.844,230.0,3.84,5000.0,3.838,90.0,3.855,3.0,3.856,3398.0,3.857,3000.0,3.86,296.0,3.862,1000.0,13.0,20150731130248,0.045,1.18,3.876,3.752,3.856,957731.0,36687.0,0.0,0.0,3.25,0.0,0.0,0.0,4.191,3.429,0.504,0.091,0.343,0.063
0,159902,3.855,3.81,3.755,960734.0,568468.0,392266.0,3.855,1997.0,3.854,30.0,3.85,5.0,3.844,230.0,3.843,10000.0,3.856,398.0,3.86,296.0,3.864,36.0,3.865,65.0,3.866,40.0,13.0,20150731130318,0.045,1.18,3.876,3.752,3.855,960734.0,36803.0,0.0,0.0,3.25,0.0,0.0,0.0,-1.0,-1.0,0.505,0.09,0.342,0.063
0,159902,3.855,3.81,3.755,967732.0,568470.0,399262.0,3.854,30.0,3.85,5.0,3.844,230.0,3.841,10000.0,3.838,90.0,3.856,398.0,3.857,3000.0,3.86,296.0,3.864,36.0,3.865,65.0,13.0,20150731130351,0.045,1.18,3.876,3.752,3.855,967732.0,37073.0,0.0,0.0,3.25,0.0,0.0,0.0,-1.0,-1.0,0.501,0.09,0.345,0.064
0,159902,3.855,3.81,3.755,972751.0,568470.0,404282.0,3.854,11.0,3.851,5000.0,3.85,5.0,3.844,830.0,3.842,8.0,3.855,51.0,3.856,542.0,3.86,296.0,3.863,3000.0,3.864,36.0,13.0,20150731130424,0.045,1.18,3.876,3.752,3.854,972751.0,37266.0,0.0,0.0,3.25,0.0,0.0,0.0,-1.0,-1.0,0.498,0.089,0.349,0.064
0,159902,3.855,3.81,3.755,972751.0,568470.0,404282.0,3.854,11.0,3.851,5000.0,3.85,5.0,3.844,830.0,3.842,8.0,3.855,5051.0,3.856,542.0,3.86,296.0,3.864,3036.0,3.865,65.0,13.0,20150731130430,0.045,1.18,3.876,3.752,3.854,972751.0,37266.0,0.0,0.0,3.25,0.0,0.0,0.0,-1.0,-1.0,0.498,0.089,0.349,0.064
0,159902,3.855,3.81,3.755,977847.0,567186.0,410661.0,3.855,4935.0,3.851,5000.0,3.85,5.0,3.844,830.0,3.842,8.0,3.856,542.0,3.86,296.0,3.862,3000.0,3.863,3000.0,3.864,36.0,13.0,20150731130454,0.045,1.18,3.876,3.752,3.854,977847.0,37463.0,0.0,0.0,3.25,0.0,0.0,0.0,4.191,3.429,0.495,0.089,0.352,0.064
0,159902,3.855,3.81,3.755,982782.0,568554.0,414228.0,3.851,5000.0,3.85,5.0,3.844,230.0,3.842,8.0,3.838,90.0,3.855,65.0,3.856,537.0,3.859,30.0,3.86,296.0,3.861,3000.0,13.0,20150731130530,0.045,1.18,3.876,3.752,3.855,982782.0,37653.0,0.0,0.0,3.25,0.0,0.0,0.0,-1.0,-1.0,0.493,0.088,0.356,0.063
0,159902,3.851,3.81,3.755,987782.0,567186.0,420596.0,3.85,5.0,3.844,230.0,3.839,10000.0,3.838,10691.0,3.837,1001.0,3.855,65.0,3.856,537.0,3.859,405.0,3.86,296.0,3.864,36.0,13.0,20150731130600,0.041,1.08,3.876,3.752,3.851,987782.0,37845.0,0.0,0.0,3.25,0.0,0.0,0.0,4.191,3.429,0.49,0.088,0.36,0.063
