名称,﻿代码,﻿当前价格,﻿昨收,﻿今开,﻿成交量/手,﻿外盘,﻿内盘,﻿买一价,﻿买一量/手,﻿买二价,﻿买二量/手,﻿买三价,﻿买三量/手,﻿买四价,﻿买四量/手,﻿买五价,﻿买五量/手,﻿卖一价,﻿卖一量/手,﻿卖二价,﻿卖二量/手,﻿卖三价,﻿卖三量/手,﻿卖四价,﻿卖四量/手,﻿卖五价,﻿卖五量/手,﻿最近逐笔成交,﻿时间,﻿涨跌,﻿涨跌幅,﻿最高,﻿最低,﻿价格,﻿成交量/手,﻿成交额/万,﻿换手率,﻿市盈率,﻿振幅,﻿流通市值,﻿总市值,﻿市净率,﻿涨停价,﻿跌停价,﻿买盘大单,﻿买盘小单,﻿卖盘大单,﻿卖盘小单
0,sz399330,3396.24,3492.09,3504.36,30650668.0,15325334.0,15325334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104414,-95.85,-2.74,3529.26,3379.14,3390.47,30650668.0,3756723.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0,sz399330,3398.13,3492.09,3504.36,30699880.0,15349940.0,15349940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104429,-93.96,-2.69,3529.26,3379.14,3390.47,30699880.0,3762666.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0,sz399330,3399.56,3492.09,3504.36,30758585.0,15379292.0,15379292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104434,-92.53,-2.65,3529.26,3379.14,3390.47,30758585.0,3769231.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0,sz399330,3400.67,3492.09,3504.36,30786111.0,15393056.0,15393056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104440,-91.42,-2.62,3529.26,3379.14,3390.47,30786111.0,3772657.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0,sz399330,3401.37,3492.09,3504.36,30807716.0,15403858.0,15403858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104447,-90.72,-2.6,3529.26,3379.14,3390.47,30807716.0,3774699.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0,sz399330,3401.96,3492.09,3504.36,30819237.0,15409618.0,15409618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104450,-90.13,-2.58,3529.26,3379.14,3390.47,30819237.0,3776011.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0,sz399330,3402.41,3492.09,3504.36,30846936.0,15423468.0,15423468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104456,-89.68,-2.57,3529.26,3379.14,3390.47,30846936.0,3779155.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0,sz399330,3404.46,3492.09,3504.36,30867632.0,15433816.0,15433816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104459,-87.63,-2.51,3529.26,3379.14,3390.47,30867632.0,3781304.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0,sz399330,3403.92,3492.09,3504.36,30882107.0,15441054.0,15441054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104502,-88.17,-2.52,3529.26,3379.14,3390.47,30882107.0,3782929.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
0,sz399330,3405.28,3492.09,3504.36,30910382.0,15455191.0,15455191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20150826104507,-86.81,-2.49,3529.26,3379.14,3403.92,30910382.0,3785977.0,0.0,0.0,4.3,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
